order_id,outlet_id,item_sku,quantity,unit_price,order_ts,order_date,line_total
7dde6f3b-d52d-4ba3-99a2-f3916fca6522,Leeds-Central,DRINK-04,3,3.49,2026-05-09 01:29:25.399192,2026-05-09,10.47
71e2fa43-f8bd-407b-9b2e-cd483a065eb2,Leeds-Central,SIDE-05,2,3.99,2026-02-19 16:21:10.751162,2026-02-19,7.98
cbf1cfee-144f-4bbe-a3da-8e07c1e58573,Harrogate,WRAP-03,3,7.99,2026-05-12 01:46:05.991527,2026-05-12,23.97
b4a8fb1a-e648-459f-86f1-47d3cba9089b,Leeds-Central,WRAP-03,4,7.99,2026-04-17 00:29:50.241902,2026-04-17,31.96
d3655250-fbdb-4bba-b373-52c4ca04536a,Bradford,WRAP-03,5,7.99,2026-03-23 19:11:37.089375,2026-03-23,39.95
acebe873-b521-4d57-93a1-1159008abce4,Bradford,PIZZA-02,2,12.99,2026-05-01 00:04:10.765211,2026-05-01,25.98
2b3f425e-9187-46da-846b-264c08f3cd30,Leeds-Central,DRINK-04,1,3.49,2026-04-24 14:23:52.670420,2026-04-24,3.49
e559584e-1d50-4918-a80e-e82eb0aeead6,Bradford,DRINK-04,5,3.49,2026-03-09 22:11:03.393734,2026-03-09,17.45
22b050ff-1e7c-4a11-b8c1-a89fbe2339c1,Leeds-Central,DRINK-04,1,3.49,2026-03-24 10:34:29.340877,2026-03-24,3.49
0e0e246b-b913-4955-9c06-b25adf9ca1c9,Harrogate,WRAP-03,2,7.99,2026-04-09 05:14:42.528482,2026-04-09,15.98
7d8449e2-4461-4e71-9362-9e1cecad90df,Harrogate,DRINK-04,3,3.49,2026-04-23 16:36:43.316350,2026-04-23,10.47
0019e22c-7dbf-4c03-8f87-902fc150c807,Harrogate,DRINK-04,4,3.49,2026-03-22 12:51:14.314577,2026-03-22,13.96
b4b590dd-af5d-44ba-8870-b2b1ee126243,Harrogate,BURGER-01,5,10.99,2026-04-15 23:00:47.490871,2026-04-15,54.95
45ddef25-fdc1-47c1-8b86-9da06b274dea,Harrogate,WRAP-03,5,7.99,2026-03-20 06:23:58.760829,2026-03-20,39.95
8e09062e-5071-490d-ac9a-05f4b1749c50,Harrogate,BURGER-01,2,10.99,2026-04-01 09:17:16.413540,2026-04-01,21.98
466a2fe3-6689-4c9b-9c2a-8a0cf24bd61a,Leeds-Central,DRINK-04,4,3.49,2026-03-12 02:11:45.869079,2026-03-12,13.96
2422e1f5-9859-4072-9103-f73f03c71cb1,Bradford,PIZZA-02,1,12.99,2026-05-08 05:38:20.780526,2026-05-08,12.99
c8fcea7d-d264-4f21-9469-f3ba926aeaf3,Leeds-Central,PIZZA-02,2,12.99,2026-04-25 02:20:11.149064,2026-04-25,25.98
2c094d7c-a4c2-4a88-96d2-a50c1858b5cd,Harrogate,DRINK-04,4,3.49,2026-05-08 05:28:27.097855,2026-05-08,13.96
83d4b7d3-28cf-4daf-b278-b74485d40690,Leeds-Central,DRINK-04,3,3.49,2026-03-11 21:26:29.750968,2026-03-11,10.47
35e43351-10bc-4683-b246-069e29e1a9da,Bradford,BURGER-01,4,10.99,2026-04-03 19:47:56.465425,2026-04-03,43.96
5d5beddc-dfe1-4b3b-ae33-13cb5581af1e,Bradford,PIZZA-02,2,12.99,2026-03-05 12:59:09.299926,2026-03-05,25.98
9e027735-2d87-46fa-8668-e413e2eec4e6,Bradford,DRINK-04,5,3.49,2026-04-20 09:37:49.763126,2026-04-20,17.45
10c002b2-cba1-4406-97f0-ab4212a92d73,Bradford,PIZZA-02,4,12.99,2026-03-06 11:21:10.720217,2026-03-06,51.96
1cb17112-858d-495c-aa38-dd9d1739a231,Bradford,PIZZA-02,4,12.99,2026-04-19 10:48:50.917716,2026-04-19,51.96
20233627-72aa-4e17-860a-6980ad318aaf,Leeds-Central,DRINK-04,5,3.49,2026-04-30 13:25:26.410666,2026-04-30,17.45
280d7f3e-9c1c-455b-94bf-bfcab98638de,Bradford,SIDE-05,5,3.99,2026-05-04 08:13:40.688877,2026-05-04,19.95
be0f2a6c-9840-402a-ba3a-ecdc6e57b429,Leeds-Central,PIZZA-02,4,12.99,2026-03-28 20:33:56.307844,2026-03-28,51.96
9973d0e4-c102-485d-96b7-ec53254f9b99,Leeds-Central,DRINK-04,1,3.49,2026-04-08 15:51:08.761352,2026-04-08,3.49
8ae27f6b-0dba-4545-8f7f-5a2ba2f3e8ec,Harrogate,SIDE-05,5,3.99,2026-03-24 17:25:35.344057,2026-03-24,19.95
d46a1f54-00ae-44ea-a2fc-8b6ebfb74772,Leeds-Central,BURGER-01,1,10.99,2026-04-03 09:43:26.614129,2026-04-03,10.99
c2e81783-14f7-477d-849a-105da87e9a94,Harrogate,BURGER-01,3,10.99,2026-02-21 11:14:33.591530,2026-02-21,32.97
09f2a148-bd2e-4e51-8e3e-1f9ea6f3faab,Leeds-Central,WRAP-03,3,7.99,2026-04-10 03:45:36.937241,2026-04-10,23.97
a7091878-0c8c-4294-8442-f1c205b598ab,Leeds-Central,WRAP-03,3,7.99,2026-04-02 19:38:11.144908,2026-04-02,23.97
10703bd9-ddf4-4964-9ed2-98966f54ea58,Bradford,SIDE-05,2,3.99,2026-04-22 23:04:29.811191,2026-04-22,7.98
82538c04-e10a-473c-a904-4b9f2b963dcb,Harrogate,BURGER-01,1,10.99,2026-05-10 22:03:40.849020,2026-05-10,10.99
d5772282-d670-4b17-bbb7-4351cb747c54,Bradford,DRINK-04,1,3.49,2026-04-10 12:14:55.960692,2026-04-10,3.49
30b00a55-ec36-47f7-956b-7ebbaad8d324,Harrogate,SIDE-05,4,3.99,2026-02-19 10:43:28.735168,2026-02-19,15.96
f8d7a056-3c00-4db4-97cf-08ad69ad63b0,Harrogate,WRAP-03,1,7.99,2026-04-02 21:39:00.891435,2026-04-02,7.99
8a077526-864a-42be-a689-3a9f8c4e23e0,Leeds-Central,WRAP-03,3,7.99,2026-04-14 05:14:30.666049,2026-04-14,23.97
3fe2737b-9f92-4481-9768-9b1d938bb8a3,Leeds-Central,BURGER-01,2,10.99,2026-04-05 04:08:57.390039,2026-04-05,21.98
50e6e370-f689-404d-82d2-98bbeda9bde9,Leeds-Central,WRAP-03,2,7.99,2026-03-10 23:14:00.209482,2026-03-10,15.98
f6f4ab3e-0dc3-4d8b-a93f-e6d849b9a7bb,Leeds-Central,PIZZA-02,3,12.99,2026-02-24 06:22:40.103791,2026-02-24,38.97
7869f58e-05ff-47d8-8240-e341ce10189b,Leeds-Central,BURGER-01,4,10.99,2026-03-13 23:58:43.473877,2026-03-13,43.96
f798975a-815e-4b48-9742-32e2cfa03160,Harrogate,SIDE-05,5,3.99,2026-03-10 19:24:55.449903,2026-03-10,19.95
407ca4b3-badb-4113-b519-211ab4a8f691,Leeds-Central,WRAP-03,4,7.99,2026-02-22 06:03:13.251359,2026-02-22,31.96
49401c74-2900-46e6-adf8-a0289fc0f4a3,Harrogate,SIDE-05,3,3.99,2026-04-09 10:00:20.032366,2026-04-09,11.97
bdb0a7cb-8c6e-40aa-b141-f3405f7c2ba1,Bradford,WRAP-03,4,7.99,2026-05-12 20:07:28.621552,2026-05-12,31.96
6d974b36-17fa-433b-92f4-665eb1865ada,Bradford,PIZZA-02,5,12.99,2026-03-05 10:32:15.490865,2026-03-05,64.95
5042d2ac-51c4-4f10-b61d-1461d4ab4357,Leeds-Central,BURGER-01,4,10.99,2026-02-20 11:18:17.575815,2026-02-20,43.96
0c6dca00-82a6-4b4f-a4e9-64ea7fdbd8c1,Bradford,DRINK-04,3,3.49,2026-04-05 17:56:50.916663,2026-04-05,10.47
de09619b-b137-4f9d-ba8a-5d1e3cdae595,Harrogate,PIZZA-02,4,12.99,2026-05-02 18:52:14.642794,2026-05-02,51.96
8eb5486a-86d7-43c5-897c-9bf7ee68fa0b,Harrogate,BURGER-01,1,10.99,2026-04-16 12:11:03.241979,2026-04-16,10.99
