invoice_id,supplier_name,item_sku,units_received,unit_cost_gbp,total_cost_gbp,invoice_date,payment_status
7ef0bea2-8f60-4e5c-9640-841603873e6a,FreshFarm Ltd,BURGER-01,89,5.35,476.15,2026-02-16,paid
30457059-6210-4da6-8ba8-38f331001346,Metro Foods UK,PIZZA-02,67,6.28,420.76,2026-02-16,paid
406f06d0-fff0-4b09-8d34-7d86b047492b,Northern Wholesale,WRAP-03,79,3.46,273.34,2026-02-16,pending
b0f4720f-4f97-4a9a-87c9-c30ff8fe68a2,Metro Foods UK,DRINK-04,99,1.68,166.32,2026-02-16,pending
2d96f4c7-b10f-407a-8eb0-d4ac227cadd0,GreenLeaf Supplies,SIDE-05,107,1.62,173.34,2026-02-16,paid
820b0506-85ad-4c31-9fef-3ac930d97d3f,FreshFarm Ltd,BURGER-01,98,5.95,583.1,2026-02-18,paid
1eb3cb7f-8fd0-4c92-abe9-2ab66b4a87e9,Metro Foods UK,PIZZA-02,36,5.95,214.2,2026-02-18,paid
f0b1ea7b-4229-4426-ad7c-07d4c2a8e242,Northern Wholesale,WRAP-03,41,4.37,179.17,2026-02-18,paid
9864d460-907b-444e-9207-95b9dec0ebf4,Metro Foods UK,DRINK-04,74,1.77,130.98,2026-02-18,pending
1961f73a-37f3-4957-811e-1278efa9bfac,GreenLeaf Supplies,SIDE-05,57,1.78,101.46,2026-02-18,paid
bafd3c0e-08eb-4806-a8c0-d400be9983ca,FreshFarm Ltd,BURGER-01,106,4.62,489.72,2026-02-20,paid
36dc0900-50a2-4fe6-912d-be26d3ee0d30,Metro Foods UK,PIZZA-02,74,6.61,489.14,2026-02-20,paid
7c8fecf0-bb26-41f6-ab21-fc8ad69db6de,Northern Wholesale,WRAP-03,87,4.08,354.96,2026-02-20,paid
7ad638d9-77d4-4f36-a425-21a8e84d8df7,Metro Foods UK,DRINK-04,48,1.67,80.16,2026-02-20,paid
e3f72447-632a-47da-ad46-5f8608141e29,GreenLeaf Supplies,SIDE-05,29,2.19,63.51,2026-02-20,overdue
